Strong's #	,Grk/Heb	English	SVD	Text
G0002 	Ἀαρών	Aaron	هارُون	Ἀαρών (بالعبرية: аэладан)،  (في فلوريدا، -ῶνος)، هارون (راجع: خر ٤:​١٤، آل.): راجع: لو ١:​٥، راجع: أع ٧:​٤٠، راجع: عب ٥:​٤، 7: 11، 9:4 .
G0003 	Ἀβαδδών	Abaddon	أَبَدُّون	Ἀβαδδών (بالعبرية: دمار؛ الترجمة السبعينية، ἀπώлεια، فقط في رسالة الحكمة، مكان الموتى الهالكين: راجع: أي ٢٦:​٦، 28: 22، 31: 12، راجع: مز ٨٨:​١٢، راجع: أم ١٥:​١١ *)،  في العهد الجديد، أبادون، ملاك الهاوية: راجع: رؤ ٩:​١١.
G0005 	ἀββά	Abba	 أَبَا	Ἀββά (T، -ᾶ)،  (آرام، а– а– а، а–б = عب. а–b، الأب)، المستخدمة في عبارة Ἀ. ὁ παήρ، أبا، الآب (انظر سويتي على مرقس، I.with): راجع: مر ١٤:​٣٦، راجع: رو ٨:​١٥، راجع: غل ٤:​٦ .
G0006 	Ἄβελ	Abel	هَابِيل	Ἄβεл , (WH, Ἅ-), ὁ,  (هَهَبِعَل)، هابيل (راجع: تك ٤:​٢-10): راجع: عب ١١:​٤، 12: 24؛ αἵμα Ἄ.، راجع: مت ٢٣:​٣٥، راجع: لو ١١:​٥١ .
G0007G	Ἀβιά	Abijah	أَبِيَّا	Ἀβιά (بالعبرية: а–бавида، а–банда)، ὁ،  (في FlJ، Ἀβίας، -α)، أبيا، أبيا . __1. ابن رحبعام ( رؤ ١مل ١٤:​١ ) . راجع : مت ١:​٧ . __2. كاهن من نسل ألعازار ( ١أخ ٢٤:​٣، 10 ): راجع: لو ١:​٥ .
G0007H	Ἀβιά	Abijah	أَبِيَّا	Ἀβιά (بالعبرية: а–бавида، а–банда)، ὁ،  (في FlJ، Ἀβίας، -α)، أبيا، أبيا . __1. ابن رحبعام ( رؤ ١مل ١٤:​١ ) . راجع : مت ١:​٧ . __2. كاهن من نسل ألعازار ( ١أخ ٢٤:​٣، 10 ): راجع: لو ١:​٥ .
G0008 	Ἀβιαθάρ	Abiathar	أَبِيَأَثَار	Ἀβιάθαρ , ὁ,  (بالعبرية: ᴴᴰᴺ)، أبيثار (راجع: ١صم ٢١:​١): راجع: مر ٢:​٢٦ .
G0009 	Ἀβιληνή	Abilene	 الأَبِلِيَّة	Ἀβεινηνή (T, Rec. Ἀβι-), -ῆς, ἡ, (sc. χώρα)، أبيلين، منطقة في لبنان الشرقي: راجع: لو ٣:​١.
G0010 	Ἀβιούδ	Abiud	أَبِيهُود	Ἀβιούδ، ὁ،  (بالعبرية: ᴀᴇᴇᴼ)، أبيهود، أبيهود: راجع: مت ١:​١٣.
G0011 	Ἀβραάμ	Abraham	إِبْراهِيم	Ἀβραάμ (بالعبرية: Ἀβραάμ)، ὁ،  (في FlJ، Ἄβραμος، -ου؛ MM، VGT، انظر الكلمة)، إبراهيم (راجع: تك ١٧:​٥ آل.): راجع: مت ١:​١، 2 آل.
G0013 	Ἄγαβος	Agabus	أَغَابُوس	Ἄγαβος , -ου, ὁ أغابوس : راجع: أع ١١:​٢٨, 21:10 .
G0028 	Ἄγαρ	Hagar	هَاجَر	Ἅγαρ (Rec. Ἄ-)، ἡ،  (في FlJ، Ἀγάρα، -ης، عب. Ἀγάρ)، هاجر (تك 16): راجع: غل ٤:​٢٤،25 .
G0067 	Ἀγρίππας	Agrippa	أَغْرِيبَاس	Ἀγρίππας , -α (Bl., §7, 2), ὁ Agrippa (2): راجع: أع ٢٥:​١٣, 22, 23, 24, 26 26:1, 2, 19, 27, 28, 32 . (بالنسبة لأغريبا الأول، انظر: Ἡρῴδης، 3.)
G0068 	ἀγρός	Field of	حَقْل	ἀγρός , -οῦ, ὁ, [في الترجمة السبعينية بشكل رئيسي لـ ч ]; __1. الحقل : راجع : مت ٦:​٢٨ ، آل . __2. الدولة : راجع: مر ١٥:​٢١, al.; pl., الأماكن الريفية, المزارع : راجع: مر ٥:​١٤ ٦:​٣٦ 56 , راجع: لو ٨:​٣٤ ٩:​١٢ . __3. = χωρίον قطعة أرض : راجع: مر ١٠:​٢٩ , راجع: أع ٤:​٢٧ , al. (عند حدوث هذه الكلمة بالمقارنة مع χώρα، χωρίον، انظر MM، VGT، انظر الكلمة)
G0068G	ἀγρός	field	حَقْل	ἀγρός , -οῦ, ὁ, [في الترجمة السبعينية بشكل رئيسي لـ ч ]; __1. الحقل : راجع : مت ٦:​٢٨ ، آل . __2. الدولة : راجع: مر ١٥:​٢١, al.; pl., الأماكن الريفية, المزارع : راجع: مر ٥:​١٤ ٦:​٣٦ 56 , راجع: لو ٨:​٣٤ ٩:​١٢ . __3. = χωρίον قطعة أرض : راجع: مر ١٠:​٢٩ , راجع: أع ٤:​٢٧ , al. (عند حدوث هذه الكلمة بالمقارنة مع χώρα، χωρίον، انظر MM، VGT، انظر الكلمة)
G0068H	ἀγρός	Field (of blood)	حَقْل	ἀγρός , -οῦ, ὁ, [في الترجمة السبعينية بشكل رئيسي لـ ч ]; __1. الحقل : راجع : مت ٦:​٢٨ ، آل . __2. الدولة : راجع: مر ١٥:​٢١, al.; pl., الأماكن الريفية, المزارع : راجع: مر ٥:​١٤ ٦:​٣٦ 56 , راجع: لو ٨:​٣٤ ٩:​١٢ . __3. = χωρίον قطعة أرض : راجع: مر ١٠:​٢٩ , راجع: أع ٤:​٢٧ , al. (عند حدوث هذه الكلمة بالمقارنة مع χώρα، χωρίον، انظر MM، VGT، انظر الكلمة)
